Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLCDyPuwdOP7lohWTxT11ZsoUiWwVG8gUQ,UCjCRzbcN-U7Hlou32jl2AKw,2017-03-02 13:05:03 UTC,2021-04-08 12:41:04 UTC,Watch later,,Private


Video Id,Time Added
NykONuPWycc,2020-11-10 03:26:22 UTC
LfSkx6qL9kQ,2020-11-03 09:39:35 UTC
NwPDJz-GIdY,2020-10-12 07:42:49 UTC
1t2BAVzJVL4,2020-10-09 18:46:11 UTC
KBse9Y6zucs,2020-09-29 18:52:59 UTC
ph-uq_B5TSI,2020-09-25 17:34:43 UTC
oGR-z8vINeY,2020-09-22 17:20:31 UTC
da9PDzt53WA,2020-09-21 15:06:32 UTC
2fNBkUCjhcE,2020-09-12 08:36:17 UTC
tuVUoEoacwo,2020-08-20 16:39:44 UTC
e6k4-S4HlHk,2020-07-11 09:44:52 UTC
M2pSOofa_Qo,2020-04-15 16:24:04 UTC
KngvG8WzYLU,2020-04-15 16:23:00 UTC
JZjAg6fK-BQ,2020-02-28 15:34:35 UTC
5CdThq1KAlI,2020-01-11 06:39:23 UTC
L8taGwfp2sU,2020-01-11 06:34:09 UTC
Ml1XGhJF4_E,2020-01-09 06:30:04 UTC
DiD7ZDc7kJ4,2020-01-08 07:53:41 UTC
AJ-vDslYH58,2019-11-30 13:49:46 UTC
T71daxDN4ig,2019-11-06 07:11:56 UTC
uLOB6hj3M_Q,2019-05-10 11:30:44 UTC
lvTqbM5Dq4Q,2019-05-01 07:48:44 UTC
OYiVCIxsiMc,2019-03-10 08:33:25 UTC
LckW7IwUgY4,2019-03-07 13:40:55 UTC
