Artist,Link,Total
Clairo ,TIb3Qlv4D1A,323
Dre'es ,fSfHYxDiuCc,3
BENEE ,SztvQd1eYlI,102
BETWEEN FRIENDS ,frPT7NLjipg,9
Little Dragon ,8XIeEp9QCis,3
The Marías ,M5W2IZ_aOOA,187
Men I Trust ,cckL4mfOC0E,359
Roosevelt ,8JOj2qlGLeM,68
Bob Moses ,Smf6s0U-iW8,56
Jungle ,hrZduVyfoEs,34
L'Impératrice ,gYyO5LokMKw,107
Michael Kiwanuka ,M6FPIPE5v-0,25
Tame Impala ,ucrhTx1hGJQ,83
Masego ,qQiqweTbrHs,9
Giorgio Moroder ,mpW3C_k0WMY,1
The Strokes ,826mxiKjoP0,158
The Weeknd ,J7p4bzqLvCw,24
Daft Punk ,Jb6gcoR266U,32
Vansire ,LHsVtH0CS7I,79
Monsune ,j7CRINnxHAc,34
Parcels ,JYHH0ogYN8M,144
Far Caspian ,CnkFFbLp2xk,199
Hot Chip ,ktiTkKDQn94,9
Low Hum ,Ft8lBPRqU6o,87
Crumb ,xKmqwrQFlpA,37
French 79 ,yarFH8myBvo,18
maye ,MphYLC_w2ug,18
Unknown Mortal Orchestra ,KT06acweumY,18
Kavinsky ,jJ3q6EW4-8w,55
Modjo ,MR3uP7IYz44,5
Jakob ,fQUjb5XtpL8,40
Peach Pit ,UWnPtAlNwJE,211
Her's ,0nCYgT-rVSo,135
Molly Burch ,auzwK7rL3JA,11
Good Morning ,E7nB7-rSlW0,10
Mellow Fellow ,aX-wZdRYlWE,82
No Vacation ,3wy_QjOFJl4,33
Gus Dapperton ,avU4dEmb12k,11
Swim Mountain ,RRSQ_pkzftQ,3
Strawberry Guy ,JpRhT3v8U64,11
Sports ,0BmnbBWwxlw,6
Juliette & The Licks ,7fKlAJUKduk,28
Meltt ,eDqGfwcDG-o,83
Mild Orange ,HfmrN4a6gw4,29
TENDER ,94IGLnoyNU4,31
SYML ,YHxiqCHqz0A,8
Nothing but Thieves ,b0MUD0FDcqI,152
tameimpalaVEVO,wycjnCCgUes,35
TheBottlemenVEVO,Va75GaPv5jY,25
TheNeighbourhoodVEVO,vKH-rcO6PA8,81
Official Arctic Monkeys,1wznj4lD1Bs,90
ArcticMonkeysVEVO,H8tLS_NOWLs,47
Arctic Monkeys ,VsxlqmSDmBU,163
Ed Banger Records,6okxuiiHx2w,1
Phoebe Bridgers ,sDsdLfvmNms,201
The Japanese House ,NwnZyZ82UEs,39
The Neighbourhood ,Ao81ziiXHhs,30
SG Lewis ,gG2RTa7Sybg,22
"Luna, Luna ",Lpi5TmRaNcY,1
Ralph Castelli ,rzKfNvqQKsQ,19
Michael Seyer ,NY_UFLqb324,54
Brahny ,TLRoz3Qmbwc,27
Sufjan Stevens ,tNlo9bZ3YKc,403
St. Vincent ,uVo_xKDFUZ0,1
Summer Salt ,Mfb1wGfn3Zs,92
VARSITY ,2C9Z5zO4g6c,9
Mazzy Star ,avv2IIdDnnk,24
Angelo De Augustine ,S2yquBZWHsY,1
Lord Huron ,esMMHzePMVk,5
Thad Kopec ,_ETgbWB93cQ,1
Patrick Watson ,c5ORy8jyDpc,6
Hozier ,uPxvvmlkNHw,61
Johnny Goth ,DGRS1UxAfT4,2
girl in red ,4DyV0hWOdQw,19
Beach House ,zE5_F6Y7UTo,65
Novo Amor ,_xa0DWmJn0A,4
Did Virgo & Amevicious ,2EXld0OlF4g,1
Feathers ,_ACtdwTQKNs,23
James Blake ,LGPNEsr0MtI,2
Tangerine Dream ,UkwGdn3CgcE,3
Miami Horror ,lIzETcoGHgE,27
Iron & Wine ,jXBHPBEPblU,2
Current Joys ,-ETAWC8pKww,15
Yellow Days ,7OopD1mdbL8,45
Cigarettes After Sex ,In9V-SFAldA,133
Dreamgirl ,kQoOASpMLWk,10
