Song,Artist,Link,Year,Month,Count/Month
Bags,Clairo ,TIb3Qlv4D1A,2021,Oct,1
Warm (feat. Mia),Dre'es ,fSfHYxDiuCc,2021,Oct,1
Supalonely,BENEE ,SztvQd1eYlI,2021,Oct,1
affection,BETWEEN FRIENDS ,frPT7NLjipg,2021,Oct,2
Lover Chanting,Little Dragon ,8XIeEp9QCis,2021,Oct,1
Clueless,The Marías ,M5W2IZ_aOOA,2021,Oct,2
Seven,Men I Trust ,cckL4mfOC0E,2021,Oct,2
Moving On,Roosevelt ,8JOj2qlGLeM,2021,Oct,1
Like It Or Not (Love Thy Brother Remix),Bob Moses ,Smf6s0U-iW8,2021,Oct,1
Yr Love (Midnight Version),Roosevelt ,glM-9znFRj8,2021,Oct,1
"Heavy, California",Jungle ,hrZduVyfoEs,2021,Oct,1
Night Moves,Roosevelt ,tyHOXSg1Z0g,2021,Oct,1
Tailwhip (Miki Bangs Remix),Men I Trust ,QjN7llfwryw,2021,Oct,1
Dreaming of You,L'Impératrice ,gYyO5LokMKw,2021,Oct,1
Money,Michael Kiwanuka ,M6FPIPE5v-0,2021,Oct,1
Montreal,Roosevelt ,1Fuf7IkZj0Y,2021,Oct,1
Breathe Deeper,Tame Impala ,ucrhTx1hGJQ,2021,Oct,1
Tadow (Extended Version),Masego ,qQiqweTbrHs,2021,Oct,1
Matahari Returns,L'Impératrice ,87cZTOaIMRA,2021,Oct,1
Chase,Giorgio Moroder ,mpW3C_k0WMY,2021,Oct,1
The Adults Are Talking,The Strokes ,826mxiKjoP0,2021,Oct,1
Blinding Lights,The Weeknd ,J7p4bzqLvCw,2021,Oct,1
Around the World,Daft Punk ,Jb6gcoR266U,2021,Oct,1
Get Lucky,Daft Punk ,4D7u5KF7SP8,2021,Oct,1
Shadows (Midnight Version),Roosevelt ,FcNpM2aqxYE,2021,Oct,1
Metamodernity,Vansire ,LHsVtH0CS7I,2021,Oct,1
Ruthless,The Marías ,s-8lUvdmnlQ,2021,Oct,1
Let It Happen,Tame Impala ,NMRhx71bGo4,2021,Oct,1
I Don't Know You,The Marías ,1GU1jvNMaXE,2021,Oct,1
OUTTA MY MIND,Monsune ,j7CRINnxHAc,2021,Oct,1
Tieduprightnow,Parcels ,JYHH0ogYN8M,2021,Oct,1
A Dream of You,Far Caspian ,CnkFFbLp2xk,2021,Oct,2
Lightenup (Alex Metric Remix),Parcels ,IM1Kxap9fnc,2021,Oct,1
Huarache Lights,Hot Chip ,ktiTkKDQn94,2021,Oct,1
Comatose,Low Hum ,Ft8lBPRqU6o,2021,Oct,2
Cariño,The Marías ,nggh05tQnSg,2021,Oct,1
Locket,Crumb ,xKmqwrQFlpA,2021,Oct,2
Between the Buttons,French 79 ,yarFH8myBvo,2021,Oct,1
Yours,maye ,MphYLC_w2ug,2021,Oct,2
Beyond,Daft Punk ,RE_XX6jk2Lo,2021,Oct,1
Hunnybee,Unknown Mortal Orchestra ,KT06acweumY,2021,Oct,1
Pacific Coast Highway,Kavinsky ,jJ3q6EW4-8w,2021,Oct,1
Lady (Hear Me Tonight),Modjo ,MR3uP7IYz44,2021,Oct,1
Chillin',Modjo ,hYeqlUgZuwQ,2021,Oct,1
Overnight,Parcels ,tDcA7m8IyNk,2021,Oct,1
Touch,Daft Punk ,RRMbhEdmhYw,2021,Oct,1
Giorgio by Moroder,Daft Punk ,ZFZM6jDTWd4,2021,Oct,1
Perfect Sweet Blue,Jakob ,fQUjb5XtpL8,2021,Oct,1
Sweet FA,Peach Pit ,UWnPtAlNwJE,2021,Oct,1
Cool with You,Her's ,0nCYgT-rVSo,2021,Oct,1
Please Be Mine,Molly Burch ,auzwK7rL3JA,2021,Oct,2
On The Street,Good Morning ,E7nB7-rSlW0,2021,Oct,1
How Was Your Day? (feat. Clairo),Mellow Fellow ,aX-wZdRYlWE,2021,Oct,1
Show Me How,Men I Trust ,wSTYIyQxfPQ,2021,Oct,2
Sunshine Girl (Demo),Jakob ,Q7JCI2o0ySU,2021,Oct,1
Dræm Girl,No Vacation ,3wy_QjOFJl4,2021,Oct,1
Only in My Dreams,The Marías ,HnXzzTIFu_U,2021,Oct,2
You'll Be Alright (feat. Teenage Granny),Mellow Fellow ,6uMVua5u_-E,2021,Oct,1
All Your Love,Jakob ,egWo4nwSw90,2021,Oct,2
Norton Commander (All We Need),Men I Trust ,uJ7pNGddOTM,2021,Oct,1
My Love,maye ,n-_zxJu6Mzg,2021,Oct,1
April,Jakob ,8HMIMWySgw8,2021,Oct,1
"Prune, You Talk Funny",Gus Dapperton ,avU4dEmb12k,2021,Oct,2
Porcelain,Men I Trust ,4UDVG5DDxDA,2021,Oct,2
What Once Was,Her's ,l-rjYVI3OMo,2021,Oct,1
Over the Moon,The Marías ,Ah_Ig6wggtI,2021,Oct,1
Youth,Swim Mountain ,RRSQ_pkzftQ,2021,Oct,1
Mrs Magic,Strawberry Guy ,JpRhT3v8U64,2021,Oct,1
Whatever You Want,Sports ,0BmnbBWwxlw,2021,Oct,2
You,Good Morning ,sgjTb7UQe2A,2021,Oct,1
Velvet Light,Jakob ,LQuPclpCIwc,2021,Oct,1
You Might Be Sleeping,Jakob ,5sWfO6ND2NY,2021,Oct,1
Lavender Kiss,Juliette & The Licks ,7fKlAJUKduk,2021,Oct,2
Photogénie,Meltt ,eDqGfwcDG-o,2021,Oct,2
Found Me,Men I Trust ,mDl2J3qivBQ,2021,Oct,2
In The Living Room,Mild Orange ,HfmrN4a6gw4,2021,Oct,1
Tailwhip,Men I Trust ,RwH-LKnquHs,2021,Oct,1
Mysight,Mild Orange ,yc4MnVl6MlI,2021,Oct,1
"Say, Can You Hear",Men I Trust ,NU3ApKHX72Q,2021,Oct,1
Little by Little,The Marías ,dS9pjB6FqVQ,2021,Oct,1
Blue Lips,Her's ,lg4jhcbgmis,2021,Oct,1
Sickness,TENDER ,94IGLnoyNU4,2021,Oct,1
Where's My Love (Acoustic),SYML ,YHxiqCHqz0A,2021,Oct,1
If I Get High,Nothing but Thieves ,b0MUD0FDcqI,2021,Oct,1
You Know Me Too Well,Nothing but Thieves ,itIg_NtAbnk,2021,Oct,1
Tame Impala - Feels Like We Only Go Backwards (Official Video),tameimpalaVEVO,wycjnCCgUes,2021,Oct,1
Catfish and the Bottlemen - Cocoon,TheBottlemenVEVO,Va75GaPv5jY,2021,Oct,1
The Neighbourhood - R.I.P. 2 My Youth (Official Video),TheNeighbourhoodVEVO,vKH-rcO6PA8,2021,Oct,1
Arctic Monkeys - Black Treacle (Official Video),Official Arctic Monkeys,1wznj4lD1Bs,2021,Oct,1
The Neighbourhood - Scary Love,TheNeighbourhoodVEVO,zTIoErJmsp4,2021,Oct,1
Arctic Monkeys - One For The Road (Official Video),Official Arctic Monkeys,qN7gSMPQFss,2021,Oct,1
Arctic Monkeys - Snap Out Of It (Official Video),ArcticMonkeysVEVO,H8tLS_NOWLs,2021,Oct,1
Arctic Monkeys - Why'd You Only Call Me When You're High? (Official Video),ArcticMonkeysVEVO,6366dxFf-Os,2021,Oct,1
Why'd You Only Call Me When You're High?,Arctic Monkeys ,VsxlqmSDmBU,2021,Oct,1
I Wanna Be Yours,Arctic Monkeys ,nyuo9-OjNNg,2021,Oct,1
Breakbot - Baby I'm Yours (feat. Irfane) [Official Video],Ed Banger Records,6okxuiiHx2w,2021,Oct,1
Private Presley,Peach Pit ,wil4IIZEt-c,2021,Oct,1
Feel Something,Clairo ,7ayxfsGx5Bc,2021,Oct,1
F Song,Strawberry Guy ,0qlvKgm-WXM,2021,Oct,1
Monsta,BENEE ,E2IsYMGtyQc,2021,Oct,1
Funeral,Phoebe Bridgers ,sDsdLfvmNms,2021,Oct,1
Jupiter,The Marías ,t_gJ4UxZLnk,2021,Oct,1
Kyoto,Phoebe Bridgers ,Ubt_qaac_wM,2021,Oct,1
Saw You in a Dream,The Japanese House ,NwnZyZ82UEs,2021,Oct,1
Lauren,Men I Trust ,iZcOYmMyG-E,2021,Oct,1
Every Time Around,Vansire ,ENJZshdeuWI,2021,Oct,1
Sinking,Clairo ,2ZGnKFSluiQ,2021,Oct,1
Love Again,Meltt ,1SRO1VTIuMs,2021,Oct,1
Hold It Together,The Marías ,UgctoczKTeM,2021,Oct,1
Lucky Sue,Men I Trust ,tjiKTO3KTv0,2021,Oct,1
Softly,Clairo ,u1l2WIxrJVQ,2021,Oct,1
Motion Sickness,Phoebe Bridgers ,iMr69JihnP4,2021,Oct,1
Basta Ya,The Marías ,kPb7qcwwHSk,2021,Oct,1
Maybe You're the Reason,The Japanese House ,cKpMj1MHzvw,2021,Oct,1
Sweater Weather,The Neighbourhood ,Ao81ziiXHhs,2021,Oct,1
Better,SG Lewis ,gG2RTa7Sybg,2021,Oct,1
Impossible,Clairo ,Qz174ODNvNI,2021,Oct,1
For You,"Luna, Luna ",Lpi5TmRaNcY,2021,Oct,1
You and I,Jakob ,SVQpc9SiAq8,2021,Oct,1
Good Morning,Ralph Castelli ,rzKfNvqQKsQ,2021,Oct,1
Halcyon Age,Vansire ,sbqN4AlgPxY,2021,Oct,1
I Can't Dance,Michael Seyer ,NY_UFLqb324,2021,Oct,1
Dorothy,Her's ,P3zy9q1TVUk,2021,Oct,1
Fool of You,Meltt ,mgD1fz-QlLo,2021,Oct,1
Morning Sex,Ralph Castelli ,J6fpHwsUCHs,2021,Oct,1
Medieval,Her's ,DGpC42B0GKE,2021,Oct,1
Pride,Brahny ,TLRoz3Qmbwc,2021,Oct,1
I Left My Heart Strings near San Francisco,Michael Seyer ,1yKZIqdaZe4,2021,Oct,1
Pretty Girls,Michael Seyer ,_0KCvRqKISQ,2021,Oct,1
Numb,Men I Trust ,HwBFSyIcIFI,2021,Oct,1
Drawn to the Blood,Sufjan Stevens ,tNlo9bZ3YKc,2021,Oct,1
Futile Devices,Sufjan Stevens ,RaKXCrogzfk,2021,Oct,1
Rosyln,St. Vincent ,uVo_xKDFUZ0,2021,Oct,1
Driving to Hawaii,Summer Salt ,Mfb1wGfn3Zs,2021,Oct,1
Heaven,Clairo ,1d3iOGIB10I,2021,Oct,1
Eleven Weeks,Vansire ,21_GfqwZbko,2021,Sep,1
Norton Commander (All We Need),Men I Trust ,uJ7pNGddOTM,2021,Sep,4
Porcelain,Men I Trust ,4UDVG5DDxDA,2021,Sep,2
"So Sad, So Sad",VARSITY ,2C9Z5zO4g6c,2021,Sep,7
Pretty Girls,Michael Seyer ,_0KCvRqKISQ,2021,Sep,10
Sweet FA,Peach Pit ,UWnPtAlNwJE,2021,Sep,1
You Might Be Sleeping,Jakob ,5sWfO6ND2NY,2021,Sep,5
Lavender Kiss,Juliette & The Licks ,7fKlAJUKduk,2021,Sep,9
All Your Love,Jakob ,egWo4nwSw90,2021,Sep,7
Mystery of Love,Sufjan Stevens ,8ECPu3iumnE,2021,Sep,8
Futile Devices,Sufjan Stevens ,RaKXCrogzfk,2021,Sep,1
Reach Out,Sufjan Stevens ,gGvbozeqTFQ,2021,Sep,1
Fade Into You,Mazzy Star ,avv2IIdDnnk,2021,Sep,4
Wanderer,Angelo De Augustine ,S2yquBZWHsY,2021,Sep,1
The Night We Met,Lord Huron ,esMMHzePMVk,2021,Sep,1
Nature of Belonging,Thad Kopec ,_ETgbWB93cQ,2021,Sep,1
John My Beloved,Sufjan Stevens ,ZlDXBlNNF5k,2021,Sep,2
Good Morning Mr. Wolf,Patrick Watson ,c5ORy8jyDpc,2021,Sep,1
Should Have Known Better,Sufjan Stevens ,-V079uSLYcw,2021,Sep,7
Cool Blue,The Japanese House ,gyF15HTWxNA,2021,Sep,1
I Hope to Be Around,Men I Trust ,kEcPI54XZDI,2021,Sep,11
Visions of Gideon,Sufjan Stevens ,zlxDu7WSWss,2021,Sep,4
All the Trees of the Field Will Clap Their Hands,Sufjan Stevens ,JHul8vzXsV8,2021,Sep,1
Astoria,Far Caspian ,SKMLY4zmELw,2021,Sep,6
Lauren,Men I Trust ,iZcOYmMyG-E,2021,Sep,7
All for Myself,Sufjan Stevens ,dI2D3s5LvEE,2021,Sep,1
Like Real People Do,Hozier ,uPxvvmlkNHw,2021,Sep,1
Turn Out The Lights,Patrick Watson ,SNxGJGs7FnM,2021,Sep,1
Flint (For the Unemployed and Underpaid),Sufjan Stevens ,qlPN7_h_OYo,2021,Sep,1
Numb,Men I Trust ,HwBFSyIcIFI,2021,Sep,4
Ruthless,The Marías ,s-8lUvdmnlQ,2021,Sep,7
Hit Me Right,Johnny Goth ,DGRS1UxAfT4,2021,Sep,1
"Decatur, or, Round of Applause for Your Step-Mother!",Sufjan Stevens ,694Ok4_8kCg,2021,Sep,1
we fell in love in october,girl in red ,4DyV0hWOdQw,2021,Sep,3
Fear of the Water,SYML ,pJgCT_D3aT4,2021,Sep,3
Olympus,Sufjan Stevens ,V-MK6MYSl7w,2021,Sep,1
I Don't Know You,The Marías ,1GU1jvNMaXE,2021,Sep,9
Vesuvius,Sufjan Stevens ,mPJ3UtqbBrQ,2021,Sep,1
On the Sea,Beach House ,zE5_F6Y7UTo,2021,Sep,7
Vantablack,Novo Amor ,_xa0DWmJn0A,2021,Sep,1
Drawn to the Blood,Sufjan Stevens ,tNlo9bZ3YKc,2021,Sep,4
All of Me Wants All of You,Sufjan Stevens ,3ApkgnSHbuI,2021,Sep,4
Work Addict (feat. Johanna),Did Virgo & Amevicious ,2EXld0OlF4g,2021,Sep,1
Dark Matter,Feathers ,_ACtdwTQKNs,2021,Sep,8
Giorgio by Moroder,Daft Punk ,ZFZM6jDTWd4,2021,Sep,7
Instant Crush,Daft Punk ,khnokW3Mw24,2021,Sep,2
I Need A Forest Fire,James Blake ,LGPNEsr0MtI,2021,Sep,1
Carrie & Lowell,Sufjan Stevens ,2TgBxQatEM4,2021,Sep,3
North Yankton Memories,Tangerine Dream ,UkwGdn3CgcE,2021,Sep,1
Sometimes,Miami Horror ,lIzETcoGHgE,2021,Sep,5
Minor Turbulence,Tangerine Dream ,EZGN0-uF1bU,2021,Sep,1
This Must Be The Place,Iron & Wine ,jXBHPBEPblU,2021,Sep,1
"For the Widows in Paradise, For the Fatherless in Ypsilanti",Sufjan Stevens ,vWb_sK18pgw,2021,Sep,1
Take Care,Beach House ,AtHqPasrdKc,2021,Sep,1
A Different Age,Current Joys ,-ETAWC8pKww,2021,Sep,2
A Little While,Yellow Days ,7OopD1mdbL8,2021,Sep,6
Sweet,Cigarettes After Sex ,In9V-SFAldA,2021,Sep,4
Sunsetz,Cigarettes After Sex ,DCa-oXnDyzc,2021,Sep,1
Teenage Blue,Dreamgirl ,kQoOASpMLWk,2021,Sep,1
It's Not Like You,The Paper Kites ,_fw-mLMpVt0,2021,Sep,1
In My Head,Bedroom ,S1KNYqEpI2w,2021,Sep,1
On the Train Ride Home,The Paper Kites ,K6UuOL84VTU,2021,Sep,1
What Once Was,Her's ,l-rjYVI3OMo,2021,Sep,7
I Didn't Know,Skinshape ,mCgorrefSDA,2021,Sep,2
Beyond Love,Beach House ,fSgK6uu-7tc,2021,Sep,1
