Song,Artist,Link,Total
Bags,Clairo ,TIb3Qlv4D1A,32
Warm (feat. Mia),Dre'es ,fSfHYxDiuCc,3
Supalonely,BENEE ,SztvQd1eYlI,1
affection,BETWEEN FRIENDS ,frPT7NLjipg,8
Lover Chanting,Little Dragon ,8XIeEp9QCis,1
Clueless,The Marías ,M5W2IZ_aOOA,16
Seven,Men I Trust ,cckL4mfOC0E,17
Moving On,Roosevelt ,8JOj2qlGLeM,2
Like It Or Not (Love Thy Brother Remix),Bob Moses ,Smf6s0U-iW8,1
Yr Love (Midnight Version),Roosevelt ,glM-9znFRj8,1
"Heavy, California",Jungle ,hrZduVyfoEs,9
Night Moves,Roosevelt ,tyHOXSg1Z0g,1
Tailwhip (Miki Bangs Remix),Men I Trust ,QjN7llfwryw,1
Dreaming of You,L'Impératrice ,gYyO5LokMKw,1
Money,Michael Kiwanuka ,M6FPIPE5v-0,3
Montreal,Roosevelt ,1Fuf7IkZj0Y,31
Breathe Deeper,Tame Impala ,ucrhTx1hGJQ,2
Tadow (Extended Version),Masego ,qQiqweTbrHs,9
Matahari Returns,L'Impératrice ,87cZTOaIMRA,2
Chase,Giorgio Moroder ,mpW3C_k0WMY,1
The Adults Are Talking,The Strokes ,826mxiKjoP0,34
Blinding Lights,The Weeknd ,J7p4bzqLvCw,3
Around the World,Daft Punk ,Jb6gcoR266U,1
Get Lucky,Daft Punk ,4D7u5KF7SP8,1
Shadows (Midnight Version),Roosevelt ,FcNpM2aqxYE,11
Metamodernity,Vansire ,LHsVtH0CS7I,34
Ruthless,The Marías ,s-8lUvdmnlQ,30
Let It Happen,Tame Impala ,NMRhx71bGo4,5
I Don't Know You,The Marías ,1GU1jvNMaXE,37
OUTTA MY MIND,Monsune ,j7CRINnxHAc,26
Tieduprightnow,Parcels ,JYHH0ogYN8M,13
A Dream of You,Far Caspian ,CnkFFbLp2xk,64
Lightenup (Alex Metric Remix),Parcels ,IM1Kxap9fnc,1
Huarache Lights,Hot Chip ,ktiTkKDQn94,1
Comatose,Low Hum ,Ft8lBPRqU6o,45
Cariño,The Marías ,nggh05tQnSg,10
Locket,Crumb ,xKmqwrQFlpA,23
Between the Buttons,French 79 ,yarFH8myBvo,9
Yours,maye ,MphYLC_w2ug,4
Beyond,Daft Punk ,RE_XX6jk2Lo,1
Hunnybee,Unknown Mortal Orchestra ,KT06acweumY,8
Pacific Coast Highway,Kavinsky ,jJ3q6EW4-8w,15
Lady (Hear Me Tonight),Modjo ,MR3uP7IYz44,3
Chillin',Modjo ,hYeqlUgZuwQ,2
Overnight,Parcels ,tDcA7m8IyNk,17
Touch,Daft Punk ,RRMbhEdmhYw,2
Giorgio by Moroder,Daft Punk ,ZFZM6jDTWd4,8
Perfect Sweet Blue,Jakob ,fQUjb5XtpL8,1
Sweet FA,Peach Pit ,UWnPtAlNwJE,8
Cool with You,Her's ,0nCYgT-rVSo,26
Please Be Mine,Molly Burch ,auzwK7rL3JA,7
On The Street,Good Morning ,E7nB7-rSlW0,2
How Was Your Day? (feat. Clairo),Mellow Fellow ,aX-wZdRYlWE,13
Show Me How,Men I Trust ,wSTYIyQxfPQ,35
Sunshine Girl (Demo),Jakob ,Q7JCI2o0ySU,1
Dræm Girl,No Vacation ,3wy_QjOFJl4,6
Only in My Dreams,The Marías ,HnXzzTIFu_U,14
You'll Be Alright (feat. Teenage Granny),Mellow Fellow ,6uMVua5u_-E,2
All Your Love,Jakob ,egWo4nwSw90,15
Norton Commander (All We Need),Men I Trust ,uJ7pNGddOTM,6
My Love,maye ,n-_zxJu6Mzg,11
April,Jakob ,8HMIMWySgw8,3
"Prune, You Talk Funny",Gus Dapperton ,avU4dEmb12k,6
Porcelain,Men I Trust ,4UDVG5DDxDA,18
What Once Was,Her's ,l-rjYVI3OMo,51
Over the Moon,The Marías ,Ah_Ig6wggtI,23
Youth,Swim Mountain ,RRSQ_pkzftQ,1
Mrs Magic,Strawberry Guy ,JpRhT3v8U64,2
Whatever You Want,Sports ,0BmnbBWwxlw,2
