Song URL,Song title,Album title,Artist names
https://music.youtube.com/watch?v=K-tudKIvlJA,A Little Help,Avengers [2012 Score],Alan Silvestri
https://music.youtube.com/watch?v=Th-VIM6_GSc,A Place for My Head,Hybrid Theory,Linkin Park
https://music.youtube.com/watch?v=W9kVVVMAcrQ,A Sky Full of Stars,A Sky Full of Stars,Coldplay
https://music.youtube.com/watch?v=sQtnhwU2R9Y,All of Me,Love In The Future (Deluxe Edition),John Legend
https://music.youtube.com/watch?v=wfslBoRI3JE,Arthur,Aquaman (Original Motion Picture Soundtrack) [Deluxe Edition],Rupert Gregson-Williams
https://music.youtube.com/watch?v=am8dr5lNMjc,Ashes on The Fire(進撃の巨人 The Final Season Original Soundtrack),Ashes on The Fire(進撃の巨人 The Final Season Original Soundtrack),Kohta Yamamoto
https://music.youtube.com/watch?v=0iIk_N217q0,Beautiful,Freedom,Akon
https://music.youtube.com/watch?v=AhX6ZJEWW_s,Beautiful Green Wild Beast (From 'Naruto'),"Naruto Sad, Vol. 1",Anime Kei
https://music.youtube.com/watch?v=LXeQ6bmV7oU,Black Skinhead,Yeezus,Kanye West
https://music.youtube.com/watch?v=bSnlKl_PoQU,Bohemian Rhapsody,A Night At The Opera (Deluxe Edition 2011 Remaster),Queen
https://music.youtube.com/watch?v=x2umzqh8r4g,CASTLE OF GLASS,LIVING THINGS,LINKIN PARK
https://music.youtube.com/watch?v=9RCSru8wkZM,Drop the Guillotine,Being So Normal,Peach Pit
https://music.youtube.com/watch?v=CMGTms7Pfcg,Figure 8,You and Your Friends,Peach Pit
https://music.youtube.com/watch?v=FrsOnNxIrg8,God's Plan,Scorpion,Drake
https://music.youtube.com/watch?v=nbqMIBYJlvk,Godzilla,Music To Be Murdered By,Eminem
https://music.youtube.com/watch?v=2go3FwNMP70,Idhu Varai,Goa (Original Motion Picture Soundtrack),Yuvanshankar Raja
https://music.youtube.com/watch?v=mijrHK95IwM,Kadhal Yennulle,Neram (Original Motion Picture Soundtrack),Ranjith Govind
https://music.youtube.com/watch?v=Ph3jEn1-zZ0,Kodu Poatta,Raavanan (Original Motion Picture Soundtrack),A.R. Rahman
https://music.youtube.com/watch?v=iQ2Y2B3_5eI,Low,Low,Flo Rida
https://music.youtube.com/watch?v=7hVlRJgfLKo,Move me,Move me,DJ Track X
https://music.youtube.com/watch?v=9dntjpFLD_o,Mukkala Mukkabla,Kaadhalan,"Swarnalatha, Mano"
https://music.youtube.com/watch?v=6BWt-E9WgBA,Naruto Main,"Naruto Sad, Vol. 3",Anime Kei
https://music.youtube.com/watch?v=1auDUFhuQR0,Padichi Parthen,Polladhavan,Shankar Mahadevan
https://music.youtube.com/watch?v=LK8PnDS2Wy8,Panda,POPWIKI 3,Desiigner
https://music.youtube.com/watch?v=Thd374Repaw,Pistah,Neram (Original Motion Picture Soundtrack),Shabareesh Varma
https://music.youtube.com/watch?v=2AzwnhJFOvs,Sadness and Sorrow,Naruto Sad Vol.1,Anime Kei
https://music.youtube.com/watch?v=12hLNbXKCs4,Stronger,Stronger,Kanye West
https://music.youtube.com/watch?v=h_W5YwadyRM,Taxi Taxi,Sakkarakatti (Original Motion Picture Soundtrack),A.R. Rahman
https://music.youtube.com/watch?v=LFJIxKC1tBc,The Last Time,Sunsets & Full Moons,The Script
https://music.youtube.com/watch?v=WZ-MbREMKR0,Turn the Tables,Naruto Sad Vol.2,Anime Kei
