Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hLsGwOCd3VY1sVJ8oO-swPn,UCleFRYxd-2ZlsDrQpy-1jXw,2021-03-07 17:41:07 UTC,2021-03-08 02:53:14 UTC,Focus,,Public

Video ID,Time Added
wVngE5FZZIA,2021-03-07 17:41:07 UTC
NGEyOaCuwIc,2021-03-07 17:41:07 UTC
0pbeAm0riac,2021-03-07 17:41:07 UTC
rsNHjyzAhwI,2021-03-07 17:41:07 UTC
aKMhBfZA4Tw,2021-03-07 17:41:07 UTC
QZQvG-FWRDQ,2021-03-07 17:41:07 UTC
DcNTS1QMtag,2021-03-07 17:41:07 UTC
DjyWjZTZt1k,2021-03-07 17:41:07 UTC
oHU13zCOsaw,2021-03-07 17:41:07 UTC
 -PBpZbjzSlQ,2021-03-07 17:41:07 UTC
wCOeOiR_4A0,2021-03-07 17:41:07 UTC
8bgwgNSZ2v0,2021-03-07 17:41:07 UTC
YN30nHOhQ1c,2021-03-07 17:41:07 UTC
Y2lIr_q3iv4,2021-03-07 17:41:07 UTC
H0kZ8oIQQpk,2021-03-07 17:41:07 UTC
yWHnZEivbxg,2021-03-07 17:41:07 UTC
PakTHlVusu0,2021-03-07 17:41:07 UTC
iuIllZEEqHM,2021-03-07 17:41:07 UTC
xUbr_eL_OAY,2021-03-07 17:41:07 UTC
6MZhp1NHwd8,2021-03-07 17:41:07 UTC
jGk2Ju_Itrw,2021-03-07 17:41:07 UTC
wmtfH8V-P8A,2021-03-07 17:41:07 UTC
KU-h2tVe1mQ,2021-03-07 17:41:07 UTC
JFIoMh3KSaE,2021-03-07 17:41:07 UTC
6XyCCfcRTrg,2021-03-07 17:41:07 UTC
MTEMPaBHlPA,2021-03-07 17:41:07 UTC
SadHXI25pzM,2021-03-07 17:41:07 UTC
jQu4Z-eSol0,2021-03-07 17:41:07 UTC
bxGoB0JYUJ0,2021-03-07 17:41:07 UTC
wfslBoRI3JE,2021-03-07 17:41:07 UTC
hl_E5RNPbfQ,2021-03-07 17:41:07 UTC
2l0S0hxY_2c,2021-03-07 17:41:07 UTC
iUtD_FoJcks,2021-03-07 17:41:07 UTC
ZYIXNsiVowI,2021-03-07 17:41:07 UTC
u7iauaRMCeU,2021-03-07 17:41:07 UTC
OAzzzhpN88w,2021-03-07 17:41:07 UTC
qX-kkOxuFSQ,2021-03-07 17:41:07 UTC
wC9EFCJ1SaQ,2021-03-07 17:41:07 UTC
PwPSwg8Wl84,2021-03-07 17:41:07 UTC
H9gFLkNdHvA,2021-03-07 17:41:07 UTC
SsCs-IC3AN4,2021-03-07 17:41:07 UTC
lQtuzTq1F9A,2021-03-07 17:41:07 UTC
f41N4huDaU4,2021-03-07 17:41:07 UTC
Jvo6RHowVGY,2021-03-07 17:41:07 UTC
n02GsliwxKM,2021-03-07 17:41:07 UTC
B-7IcqA7tj8,2021-03-07 17:41:07 UTC
NyjqAtDOb-g,2021-03-07 17:41:07 UTC
K-tudKIvlJA,2021-03-07 17:41:07 UTC
IsMJRWRtNuU,2021-03-07 17:41:07 UTC
8a0hqHALrdc,2021-03-07 17:41:07 UTC
VsKzL9ASfac,2021-03-07 17:41:18 UTC
OOsPCR8SyRo,2021-03-07 17:41:18 UTC
DJyRPIQbYAw,2021-03-07 17:41:18 UTC
KcRT23ME9pg,2021-03-07 17:41:18 UTC
AhX6ZJEWW_s,2021-03-07 17:41:18 UTC
lrlVAMwRqEs,2021-03-07 17:41:18 UTC
kSeRv9Afg_E,2021-03-07 17:41:18 UTC
aK_ozlSBID0,2021-03-07 17:41:18 UTC
nw470DE_E1Q,2021-03-07 17:41:18 UTC
6JT1KEjRWeQ,2021-03-07 17:41:18 UTC
Z41pjOh8VGc,2021-03-07 17:41:18 UTC
vgzWB_XG9bc,2021-03-07 17:41:18 UTC
anKvOIyKb9k,2021-03-07 17:41:18 UTC
5QSRxa2IT8c,2021-03-07 17:41:18 UTC
r3Dl7FykiB8,2021-03-07 17:41:18 UTC
KNTIqWWbel8,2021-03-07 17:41:18 UTC
O0b4cGucZB0,2021-03-07 17:41:18 UTC
P746XQJyjfA,2021-03-07 17:41:18 UTC
tk7T-Kcg11I,2021-03-07 17:41:18 UTC
qd9whQxj10s,2021-03-07 17:41:18 UTC
zJp_b3x9yGQ,2021-03-07 17:41:18 UTC
efGjsUmPWs8,2021-03-07 17:41:18 UTC
ugFfpKyw9DQ,2021-03-07 17:41:18 UTC
k9eHCkxhYN8,2021-03-07 17:41:18 UTC
O_wpH0luMdk,2021-03-07 17:41:18 UTC
TDpPGO8NaO4,2021-03-07 17:41:18 UTC
5aBZbCzDMqw,2021-03-07 17:41:18 UTC
TLU4BgdDDMU,2021-03-07 17:41:18 UTC
I_rk33rrnMA,2021-03-07 17:41:18 UTC
w-7PRKz8p0U,2021-03-07 17:41:18 UTC
nGHnM8OSVsE,2021-03-07 17:41:18 UTC
 -putdMFGPks,2021-03-07 17:41:18 UTC
 -cusy3dX8EM,2021-03-07 17:41:18 UTC
vRTLnaAoiCc,2021-03-07 17:41:18 UTC
i80iS-GjjqM,2021-03-07 17:41:18 UTC
VSopu4EecMo,2021-03-07 17:41:18 UTC
6BSXGToNqoM,2021-03-07 17:41:18 UTC

