Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hLuLUym9HLsgHct3fkT7_Zf,UCleFRYxd-2ZlsDrQpy-1jXw,2021-01-08 02:15:47 UTC,2021-05-16 14:32:16 UTC,My playlist,,Unlisted

Video ID,Time Added
giN7fNEAbkY,2021-01-08 02:15:58 UTC
A2XFMjTBLws,2021-01-08 02:21:45 UTC
d7DjEg_z_0c,2021-01-08 02:22:06 UTC
Q_RiJmvmcyQ,2021-01-08 02:48:58 UTC
iQ2Y2B3_5eI,2021-01-08 02:55:51 UTC
12hLNbXKCs4,2021-01-08 02:56:09 UTC
FrsOnNxIrg8,2021-01-08 02:56:21 UTC
LXeQ6bmV7oU,2021-01-08 02:56:31 UTC
JQbjS0_ZfJ0,2021-01-08 16:06:36 UTC
DeumyOzKqgI,2021-01-08 16:06:51 UTC
n_l-uxCekIA,2021-01-08 16:07:25 UTC
bSnlKl_PoQU,2021-01-08 16:08:21 UTC
Thd374Repaw,2021-01-08 16:09:29 UTC
1auDUFhuQR0,2021-01-08 16:09:33 UTC
LK8PnDS2Wy8,2021-01-08 16:09:42 UTC
XendNtBdFGA,2021-01-08 16:10:02 UTC
Ph3jEn1-zZ0,2021-01-08 16:10:10 UTC
UZAJmmFM3dM,2021-01-08 16:10:13 UTC
xNeK2kLYY8Y,2021-01-08 16:16:16 UTC
ChUUcW4aw2k,2021-01-08 16:31:41 UTC
Obim8BYGnOE,2021-01-08 16:36:29 UTC
L5KMO7lmLsA,2021-01-08 16:44:03 UTC
_SVxbdQR6Eg,2021-01-08 16:47:31 UTC
0I2ANzEtaa0,2021-01-09 15:39:19 UTC
H3Kzh6RrnMc,2021-01-09 15:45:40 UTC
Oncu0bgdcXU,2021-01-09 15:45:47 UTC
gm-Y9idMMQ4,2021-01-09 15:45:54 UTC
AqQuRw0S6b4,2021-01-09 15:54:23 UTC
aZ1hziFhj1o,2021-01-10 16:35:43 UTC
6MH9LslLuPo,2021-01-10 16:40:16 UTC
Zfb5jbW7Y0I,2021-01-10 16:40:24 UTC
SpreD9a5qxA,2021-01-10 16:42:59 UTC
SEDH6UJJ22Y,2021-01-10 16:48:02 UTC
9RCSru8wkZM,2021-01-12 03:52:30 UTC
