Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hKBYfjfugH7d28cgG74AVgV,UCleFRYxd-2ZlsDrQpy-1jXw,2015-08-08 12:18:47 UTC,2021-05-07 05:00:56 UTC,Watch later,,Private

Video ID,Time Added
ljuyyXMYT-M,2016-02-06 09:36:24 UTC
AEkrE_moDPo,2016-03-17 04:36:27 UTC
vSL-gPMPVXI,2016-03-18 09:46:48 UTC
h9MS9i-CdfY,2016-03-19 17:48:00 UTC
AmbgVtA0IGw,2016-03-22 13:34:26 UTC
ICVptQRRft8,2016-03-22 14:43:16 UTC
3gNLmpjw8iM,2016-03-24 02:02:53 UTC
p_o4aY7xkXg,2016-03-26 01:22:53 UTC
3_RhISgoXUs,2016-03-26 01:22:57 UTC
lAAmAbJvvJg,2016-03-26 01:23:11 UTC
g_IaVepNDT4,2016-03-26 12:04:57 UTC
Xo232kyTsO0,2016-03-31 02:18:26 UTC
9iMGFqMmUFs,2016-04-04 01:48:07 UTC
pJWIgS-1hJc,2016-04-04 01:48:21 UTC
xZbcwi7SfZE,2016-04-06 00:56:47 UTC
P8jOQUsTU9o,2016-04-07 10:13:47 UTC
FbiQhAF-X3Y,2016-04-08 10:41:11 UTC
GjDjlGrIPp0,2016-04-14 05:39:58 UTC
V9_PjdU3Mpo,2016-04-14 22:47:50 UTC
wGn-WTTqsUk,2016-04-15 12:19:41 UTC
8yvWAfg5OZU,2016-04-18 22:07:26 UTC
lR4tJr7sMPM,2016-04-18 22:09:23 UTC
C5A0p9z9qhE,2016-04-20 10:22:31 UTC
RBRRrNLAyx4,2016-04-21 10:40:24 UTC
AFw9VpE-oBA,2016-04-21 10:40:34 UTC
lv47pjVkTck,2016-04-29 12:15:39 UTC
Q9DrZzz1hzQ,2016-04-29 12:16:00 UTC
qWPVTGV6uoM,2016-04-29 12:17:01 UTC
mUnrp4_9yLM,2016-04-29 12:17:06 UTC
sgje1dxbkxU,2016-04-29 16:16:21 UTC
zdstYkuQrgw,2016-05-02 01:15:15 UTC
I8992A5oAWM,2016-05-05 15:49:39 UTC
wy4aybu6r8A,2016-05-10 01:29:02 UTC
nhTrb8L-jGw,2016-05-14 05:31:50 UTC
kBtgx4IAHgA,2016-05-17 11:46:06 UTC
BPNTC7uZYrI,2016-05-20 03:10:06 UTC
0nFkQ4cQhME,2016-05-23 01:07:45 UTC
6VVSqN3QOLM,2016-05-31 02:05:24 UTC
Q8QcTvOHaB4,2016-06-05 12:30:55 UTC
mKIqrlnWgYo,2016-06-05 12:31:35 UTC
eNxO9MpQ2vA,2016-07-07 03:33:29 UTC
1DzQbMFiTRM,2016-07-07 03:36:46 UTC
KGDqWOpl9fA,2016-07-07 03:36:51 UTC
4uwMFo1u4D8,2016-07-07 06:53:23 UTC
GaPbJrJ767c,2016-07-16 09:51:57 UTC
tH9rZyaBvhQ,2016-07-16 09:53:34 UTC
DWEKAbJomvU,2016-07-21 00:53:07 UTC
jda3nIZ-dO8,2016-07-27 11:22:43 UTC
1glVgpLEZ5A,2016-08-28 09:56:32 UTC
F7YOeifRsfc,2016-08-31 23:21:55 UTC
4u3f7_p1i8c,2016-09-05 02:16:17 UTC
nvVDYQoGWyk,2016-09-08 11:57:41 UTC
qbyxQiMpkio,2016-09-16 01:35:07 UTC
Rykmwn0SMWU,2016-10-05 14:27:13 UTC
yiGrLrj6gd4,2016-10-09 00:48:37 UTC
rj36ECOLKAY,2016-10-10 01:38:56 UTC
7GbOUIFa87g,2016-10-29 17:48:03 UTC
7UNLgPIiWAg,2016-11-10 10:20:45 UTC
J_wftk2rcW4,2016-11-21 00:45:33 UTC
RlXdsyctD50,2016-12-02 10:43:13 UTC
czgOWmtGVGs,2016-12-08 14:09:04 UTC
0pIRibivolA,2017-03-09 07:20:22 UTC
gi26kaX_dDg,2017-06-08 01:01:47 UTC
r6UYZz06_nI,2017-08-12 16:28:55 UTC
4WN6jix8SEM,2017-08-18 01:15:15 UTC
3bGcWd2xVxs,2018-04-26 01:56:43 UTC
ecni9SjkWoM,2018-04-27 15:09:33 UTC
Jdy09y0A4t0,2018-05-10 02:04:22 UTC
xFr0FKnaLDk,2018-06-22 12:01:49 UTC
tCry4dxkpUc,2018-07-10 01:55:19 UTC
_8RFidnuD3k,2018-07-10 01:56:10 UTC
RxDs9WzWOPA,2018-08-07 04:46:38 UTC
pEwZ3WrwAso,2018-08-07 12:09:44 UTC
Ij7bvMTIOsQ,2018-08-08 07:48:12 UTC
I6oji4w6Kns,2018-08-11 13:30:21 UTC
iESfbhnvCx4,2018-08-15 16:52:55 UTC
NMM9J1NFJcs,2018-10-17 05:13:35 UTC
N09zGkcaecA,2018-10-20 14:25:45 UTC
85TFRaui9lE,2018-11-01 18:14:34 UTC
f_LZU7TdvWA,2018-11-11 08:42:50 UTC
BJshQuQnQDU,2018-11-17 18:37:34 UTC
rh_8V7Dn-Bc,2018-11-23 06:07:08 UTC
GfUkZtqV_O0,2018-11-30 07:16:07 UTC
Oaw5tgOCOlI,2018-12-10 15:06:16 UTC
qpDRWod1ZhU,2018-12-21 15:16:11 UTC
DYYtuKyMtY8,2019-01-15 16:02:40 UTC
